Cell Line,CLO_ID,cello_exact,cello_relaxed
697,CLO_0001008,CLO:0001008,CLO:0001008
5637,CLO_0001421,CLO:0001421;CLO:0050845,CLO:0001421;CLO:0050845
1_H1_ESCs_with_99_fibroblsat,CLO_0037281,,
143B,CLO_0001088,CLO:0001084;CLO:0001088;CLO:0024221,CLO:0001084;CLO:0001088;CLO:0024221
1B2C6,CLO_0050258,CLO:0050258,CLO:0050258
1C3D3,CLO_0050259,CLO:0050259,CLO:0050259
1C3IKEI,CLO_0050257,CLO:0050257,CLO:0050257
22Rv1,CLO_0001200,CLO:0001199;CLO:0001200,CLO:0001199;CLO:0001200
22rv1,CLO_0001200,CLO:0001199;CLO:0001200,CLO:0001199;CLO:0001200
22Rv1_10nM17beta-hydroxy-5alpha-androstan-3-one,CLO_0001200,,
22Rv1_delSite1_Clone11/12-D8,CLO_0001200,,
22Rv1_delSite1_Clone11/12-F6,CLO_0001200,,
22Rv1_delSite4_Clone22/23-F8,CLO_0001200,,
22RV1_prostate_carcinoma,CLO_0001200,,
22RV1_prostate_carcinoma_DHT,CLO_0001200,,
22rv1-arfl-arvs,CLO_0001200,,
22rv1-arvs,CLO_0001200,,
22RV1-DHT-DMSO_6h,CLO_0001200,,
293 HEK,CLO_0001230,CLO:0001230;CLO:0050903,CLO:0001230;CLO:0050903
293T,CLO_0037372,CLO:0050894,CLO:0050894
293T_2_high,CLO_0037372,,
293T_2_low,CLO_0037372,,
293T_sciCAR,CLO_0037372,,
293T-Rex,CLO_0037238,,
293Trex_B4Nflag_2h,CLO_0037238,,
293Trex_B4Nflag_7h,CLO_0037238,,
293Trex_B4Nflag_No,CLO_0037238,,
2C6,CLO_0050256,,
786-O,CLO_0001486,CLO:0001486,CLO:0001486
786-O PBRM1 shRNA#1,CLO_0001486,,
786-O PBRM1 shRNA#2,CLO_0001486,,
786-O_control,CLO_0001486,,
786-O_empty_vector,CLO_0001486,,
786-O_HIF2A,CLO_0001486,,
786-O_non-targeting,CLO_0001486,,
786-O_wtVHL,CLO_0001486,,
786o-hif1a,CLO_0001486,,
786o-hif2a,CLO_0001486,,
81-3,CLO_0001001,,
8305C,CLO_0001510,CLO:0001510;CLO:0050949,CLO:0001510;CLO:0050949
8505C,CLO_0001513,CLO:0001513;CLO:0050951,CLO:0001513;CLO:0050951
A1-2_breast_cancer_cells,CLO_0009251,,
A172,CLO_0001560,CLO:0001543;CLO:0001559;CLO:0001560;CLO:0050637,CLO:0001543;CLO:0001559;CLO:0001560;CLO:0050637
A2780,CLO_0001571,CLO:0001571,CLO:0001571
A2780_shMBD3.232,CLO_0001571,,
A2780_shMBD3.26,CLO_0001571,,
A2780_shRen,CLO_0001571,,
A2780cis,CLO_0001573,CLO:0001573,CLO:0001573
A375,CLO_0001582,CLO:0001544;CLO:0001581;CLO:0001582,CLO:0001544;CLO:0001581;CLO:0001582
A-375,CLO_0001582,CLO:0001544;CLO:0001581;CLO:0001582,CLO:0001544;CLO:0001581;CLO:0001582
A375 DMSO,CLO_0001582,,
A375 RTKi,CLO_0001582,,
A375_DMSO,CLO_0001582,,
A375_malignant_melanoma,CLO_0001582,,
A375_malignant_melanoma_A771726,CLO_0001582,,
A375_malignant_melanoma_DMSO,CLO_0001582,,
A431,CLO_0001591,CLO:0001591;CLO:0001592;CLO:0050011;CLO:0050012,CLO:0001591;CLO:0001592;CLO:0050011;CLO:0050012
A549,CLO_0001601,CLO:0001601;CLO:0050025,CLO:0001601;CLO:0050025
A-549,CLO_0001601,CLO:0001601;CLO:0050025,CLO:0001601;CLO:0050025
A549 DMSO,CLO_0001601,,
A549 EtOH 0.02pct lung carcinoma,CLO_0001601,,
A549 EtOH 0.02pct Lung Carcinoma Cell Line,CLO_0001601,,
A549 FOXA2 overexpressed,CLO_0001601,,
A549 FOXA2 shRNA2,CLO_0001601,,
A549 GFP control,CLO_0001601,,
A549 shRNA control,CLO_0001601,,
A549 TEAD2 shRNA TGFb,CLO_0001601,,
A549 TEAD4 shRNA TGFb,CLO_0001601,,
A549 TGFb,CLO_0001601,,
A549_0h_only,CLO_0001601,,
A549_0h_sciCAR,CLO_0001601,,
A549_1,CLO_0001601,,
A549_1h_only,CLO_0001601,,
A549_1h_sciCAR,CLO_0001601,,
A549_3h_only,CLO_0001601,,
A549_3h_sciCAR,CLO_0001601,,
A549_dexamethasone_0.5h,CLO_0001601,,
A549_dexamethasone_12h,CLO_0001601,,
A549_dexamethasone_1h,CLO_0001601,,
A549_dexamethasone_2h,CLO_0001601,,
A549_dexamethasone_3h,CLO_0001601,,
A549_dexamethasone_4h,CLO_0001601,,
A549_dexamethasone_5h,CLO_0001601,,
A549_dexamethasone_6h,CLO_0001601,,
A549_dexamethasone_7h,CLO_0001601,,
A549_dexamethasone_8h,CLO_0001601,,
A549_Dex-treated,CLO_0001601,,
A549_ethanol_1h,CLO_0001601,,
A549_EtOH_0.02pct_Lung_Carcinoma,CLO_0001601,,
A549_lung_carcinoma,CLO_0001601,,
A549_TGFBeta_72h,CLO_0001601,,
A673,CLO_0001605,CLO:0001605;CLO:0001606,CLO:0001605;CLO:0001606
A-673,CLO_0001605,CLO:0001605;CLO:0001606,CLO:0001605;CLO:0001606
A673 STAG2 null,CLO_0001605,,
A673 STAG2 WT,CLO_0001605,,
A673/TR/shEF1 Cells,CLO_0001605,,
A-673_clone_Asp114_Ewing_sarcoma,CLO_0001605,,
A673_Ewing_sarcoma,CLO_0001605,,
A673_SA2 Rescue,CLO_0001605,,
A673_WT,CLO_0001605,,
A-673-clone-Asp114,CLO_0001605,,
acantholytic squamous carcinoma cell line:HCC1806,CLO_0003644,,
