Cell Line,CLO_ID,cello_exact,cello_relaxed
ACC-MESO-1,CLO_0050082,CLO:0050082,CLO:0050082
ACC-MESO-4,CLO_0050083,CLO:0050083,CLO:0050083
acute lymphoblastic leukemia (B-ALL) cell line:BALL-1,CLO_0037300,,
acute lymphoblastic leukemia (B-ALL) cell line:NALM-6,CLO_0007938,,
acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL,CLO_0003817,,
acute lymphoblastic leukemia (T-ALL) cell line:Jurkat,CLO_0007043,,
acute myeloid leukemia (FAB M0) cell line:KG-1,CLO_0007093,,
acute myeloid leukemia (FAB M1) cell line:HYT-1,CLO_0051543,,
acute myeloid leukemia (FAB M2) cell line:Kasumi-1,CLO_0007069,,
acute myeloid leukemia (FAB M2) cell line:Kasumi-6,CLO_0007072,,
acute myeloid leukemia (FAB M2) cell line:NKM-1,CLO_0009850,,
acute myeloid leukemia (FAB M3) cell line:HL60,CLO_0003775,,
acute myeloid leukemia (FAB M4) cell line:FKH-1,CLO_0050983,,
acute myeloid leukemia (FAB M4) cell line:HNT-34,CLO_0050982,,
acute myeloid leukemia (FAB M4eo) cell line:EoL-1,CLO_0002932,,
acute myeloid leukemia (FAB M4eo) cell line:EoL-3,CLO_0050997,,
acute myeloid leukemia (FAB M5) cell line:NOMO-1,CLO_0009851,,
acute myeloid leukemia (FAB M5) cell line:P31/FUJ,CLO_0009855,,
acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh),CLO_0009348,,
acute myeloid leukemia (FAB M5) cell line:THP-1 (revived),CLO_0009348,,
acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed),CLO_0009348,,
acute myeloid leukemia (FAB M5) cell line:U-937 DE-4,CLO_0050122,,
acute myeloid leukemia (FAB M6) cell line:EEB,CLO_0051023,,
acute myeloid leukemia (FAB M6) cell line:F-36E,CLO_0051545,,
acute myeloid leukemia (FAB M6) cell line:F-36P,CLO_0051549,,
acute myeloid leukemia (FAB M7) cell line:M-MOK,CLO_0051548,,
adrenal cortex adenocarcinoma cell line:SW-13,CLO_0009209,,
adult T-cell leukemia cell line:ATN-1,CLO_0050985,,
AG04449,CLO_0034837,CLO:0034837,CLO:0034837
AG04449_fibroblasts,CLO_0034837,,
AG09309,CLO_0021752,CLO:0021752,CLO:0021752
AG09309_fibroblasts,CLO_0021752,,
AG09319,CLO_0021754,CLO:0021754,CLO:0021754
AG09319_fibroblasts,CLO_0021754,,
AG10803,CLO_0021511,CLO:0021511,CLO:0021511
AG10803_fibroblasts,CLO_0021511,,
AGS,CLO_0001686,CLO:0001686,CLO:0001686
AGS_gastric_adenocarcinoma,CLO_0001686,,
alveolar cell carcinoma cell line:SW 1573,CLO_0009190,,
AN3 CA,CLO_0001722,CLO:0001722;CLO:0037160,CLO:0001722;CLO:0037160
anaplastic carcinoma cell line:8305C,CLO_0001510,,
anaplastic squamous cell carcinoma cell line:RPMI 2650,CLO_0008876,,
ARH-77,CLO_0001745,CLO:0001744;CLO:0001745,CLO:0001744;CLO:0001745
AsPC-1,CLO_0001756,CLO:0001756,CLO:0001756
AsPC1 WT,CLO_0001756,,
AsPC1_GFP_DOX,CLO_0001756,,
AsPC1_TP63dN_DOX,CLO_0001756,,
AsPC1-untreated,CLO_0001756,,
astrocytoma cell line:TM-31,CLO_0050635,,
ATN-1,CLO_0050985,CLO:0050985,CLO:0050985
AZ521,CLO_0050792,CLO:0037137;CLO:0050792,CLO:0037137;CLO:0050792
b cell line:RPMI1788,CLO_0051022,,
B lymphoblastoid cell line: GM12878 ENCODE biol_rep1,CLO_0022851,,
B lymphoblastoid cell line: GM12878 ENCODE biol_rep2,CLO_0022851,,
B lymphoblastoid cell line: GM12878 ENCODE biol_rep3,CLO_0022851,,
BALL-1,CLO_0037300,CLO:0037300;CLO:0051004;CLO:0051005,CLO:0037300;CLO:0051004;CLO:0051005
basal cell carcinoma cell line:TE 354.T,CLO_0009299,,
BC-1,CLO_0001887,CLO:0001887,CLO:0001887
BC3,CLO_0001891,CLO:0001890;CLO:0001891,CLO:0001890;CLO:0001891
BC-3,CLO_0001891,CLO:0001890;CLO:0001891,CLO:0001890;CLO:0001891
BC3_NUT,CLO_0001891,,
BC3_TPA_24H,CLO_0001891,,
BC3_TPA_4H,CLO_0001891,,
BCPAP,CLO_0001906,CLO:0001906,CLO:0001906
B-CPAP,CLO_0001906,CLO:0001906,CLO:0001906
BCPAP_Poorly_differentiated_thyroid_gland_carcinoma,CLO_0001906,,
BE2,CLO_0001922,,
BeWo,CLO_0001935,CLO:0001934;CLO:0001935;CLO:0050014,CLO:0001934;CLO:0001935;CLO:0050014
BG01V,CLO_0003716,CLO:0003716,CLO:0003716
BICR-31,CLO_0009943,CLO:0009943,CLO:0009943
BICR31_Tongue_squamous_cell_carcinoma_cell,CLO_0009943,,
bile duct carcinoma cell line:HuCCT1,CLO_0050009,,
bile duct carcinoma cell line:TFK-1,CLO_0009330,,
biphenotypic B myelomonocytic leukemia cell line:MV-4-11,CLO_0007906,,
BJ,CLO_0001980,,
bj,CLO_0001980,,
BJ/ET,CLO_0001980,,
BJ_fibroblasts,CLO_0001980,,
BJ1-hTERT,CLO_0001981,CLO:0001981,CLO:0001981
BJ5ta,CLO_0001981,,
bone marrow stromal cell line:StromaNKtert,CLO_0051546,,
breast carcinoma cell line:MCF7,CLO_0007606,,
breast carcinoma cell line:MDA-MB-453,CLO_0007640,,
bronchioalveolar carcinoma cell line:NCI-H358,CLO_0008085,,
bronchogenic carcinoma cell line:ChaGo-K-1,CLO_0002413,,
BT_549,CLO_0002044,,
BT474,CLO_0002042,CLO:0002042,CLO:0002042
BT-474,CLO_0002042,CLO:0002042,CLO:0002042
BT-474_breast_invasive_ductal_carcinoma,CLO_0002042,,
BT-474_breast_invasive_ductal_carcinoma_AICAR,CLO_0002042,,
BT-474_breast_invasive_ductal_carcinoma_EGF,CLO_0002042,,
BT-474_breast_invasive_ductal_carcinoma_HRG,CLO_0002042,,
BT549,CLO_0002044,CLO:0002044,CLO:0002044
BT-549,CLO_0002044,CLO:0002044,CLO:0002044
BT-549_breast_invasive_ductal_carcinoma,CLO_0002044,,
BT-549_breast_invasive_ductal_carcinoma_TNF,CLO_0002044,,
Burkitt's lymphoma cell line:DAUDI,CLO_0002708,,
Burkitt's lymphoma cell line:RAJI,CLO_0008734,,
BxPC-3,CLO_0002065,CLO:0002065,CLO:0002065
BxPC3 WT,CLO_0002065,,
BxPC3_sgNEG,CLO_0002065,,
BxPC3_sgTP63,CLO_0002065,,
BxPC3-untreated,CLO_0002065,,
C-33A,CLO_0002115,CLO:0002115,CLO:0002115
C4-2,CLO_0037116,,
C4-2B,CLO_0037116,,
C4-2B_SR2211_24h,CLO_0037116,,
C4-2B_vehicle_24h,CLO_0037116,,
Ca Ski,CLO_0002165,CLO:0002165;CLO:0002201;CLO:0050930,CLO:0002165;CLO:0002201;CLO:0050930
CA46,CLO_0002168,CLO:0002168,CLO:0002168
CA-46_Burkitt_lymphoma,CLO_0002168,,
Ca9-22,CLO_0051380,CLO:0051380,CLO:0051380
Caco-2,CLO_0002172,CLO:0002172;CLO:0050627,CLO:0002172;CLO:0050627
CACO-2,CLO_0002172,CLO:0002172;CLO:0050627,CLO:0002172;CLO:0050627
Caco-2_colon_adenocarcinoma,CLO_0002172,,
Caco-2_colon_adenocarcinoma_DIFF,CLO_0002172,,
Caco-2_colon_adenocarcinoma_PROLIF,CLO_0002172,,
Caki2,CLO_0002177,CLO:0002177,CLO:0002177
Cal27,CLO_0002178,CLO:0002178;CLO:0002182,CLO:0002178;CLO:0002182
CAL51,CLO_0002185,CLO:0002185,CLO:0002185
Calu-1,CLO_0002191,CLO:0002191,CLO:0002191
Calu-3,CLO_0002192,CLO:0002192,CLO:0002192
Calu-3_lung_adenocarcinoma,CLO_0002192,,
Calu-6,CLO_0002193,CLO:0002193,CLO:0002193
CAMA1 ER+/FGFR1-amplified,CLO_0002194,,
CAOV4,CLO_0002196,CLO:0002196,CLO:0002196
CAOV4cis,CLO_0002196,,
CAPAN1,CLO_0002197,CLO:0002197,CLO:0002197
Capan1-untreated,CLO_0002197,,
CAPAN2,CLO_0002198,CLO:0002198,CLO:0002198
carcinoid cell line:NCI-H1770,CLO_0008017,,
carcinoid cell line:SK-PN-DW,CLO_0009064,,
carcinosarcoma cell line:JHUCS-1,CLO_0050879,,
CaSki,CLO_0002165,CLO:0002165;CLO:0002201;CLO:0050930,CLO:0002165;CLO:0002201;CLO:0050930
Caski,CLO_0002165,CLO:0002165;CLO:0002201;CLO:0050930,CLO:0002165;CLO:0002201;CLO:0050930
CCRFCEM,CLO_0002334,CLO:0002334;CLO:0015478;CLO:0050143,CLO:0002334;CLO:0015478;CLO:0050143
CCRF-CEM,CLO_0002334,CLO:0002334;CLO:0015478;CLO:0050143,CLO:0002334;CLO:0015478;CLO:0050143
CCRF-CEM_T_acute_lymphoblastic_leukemia,CLO_0002334,,
cervical cancer cell line:D98-AH2,CLO_0002683,,
cervical cancer cell line:ME-180,CLO_0007657,,
CFPAC1,CLO_0002395,CLO:0002395,CLO:0002395
CFPAC-1,CLO_0002395,CLO:0002395,CLO:0002395
ChaGo-K-1,CLO_0002413,CLO:0002413,CLO:0002413
Chang liver,CLO_0002415,CLO:0002414;CLO:0002415,CLO:0002414;CLO:0002415
CHL-1,CLO_0002420,CLO:0002420,CLO:0002420
cholangiocellular carcinoma cell line:HuH-28,CLO_0050855,,
choriocarcinoma cell line:BeWo,CLO_0001935,,
choriocarcinoma cell line:SCH,CLO_0037148,,
choriocarcinoma cell line:T3M-3,CLO_0050641,,
CHP-126,CLO_0002472,CLO:0002472;CLO:0050266,CLO:0002472;CLO:0050266
CHP-134,CLO_0051417,CLO:0051417,CLO:0051417
CHP212,CLO_0002467,CLO:0002467;CLO:0002473;CLO:0050261,CLO:0002467;CLO:0002473;CLO:0050261
chronic lymphocytic leukemia (T-CLL) cell line:SKW-3,CLO_0009068,,
chronic myeloblastic leukemia (CML) cell line:KCL-22,CLO_0009841,,
chronic myelogenous leukemia cell line:K562,CLO_0007059,,
chronic myelogenous leukemia cell line:K562 ENCODE biol_rep1,CLO_0007059,,
chronic myelogenous leukemia cell line:K562 ENCODE biol_rep2,CLO_0007059,,
chronic myelogenous leukemia cell line:K562 ENCODE biol_rep3,CLO_0007059,,
chronic myelogenous leukemia cell line:KU812,CLO_0007125,,
clear cell carcinoma cell line:JHOC-5,CLO_0051439,,
clear cell carcinoma cell line:TEN,CLO_0050884,,
CMK,CLO_0002526,CLO:0002526,CLO:0002526
CMK_acute_megakaryoblastic_leukemia,CLO_0002526,,
cold shocked K562,CLO_0007059,,
COLO 679,CLO_0002551,CLO:0002551;CLO:0037120;CLO:0050697,CLO:0002551;CLO:0037120;CLO:0050697
COLO 829,CLO_0002563,CLO:0002563;CLO:0037123,CLO:0002563;CLO:0037123
Colo205,CLO_0002544,CLO:0002544;CLO:0050630;CLO:0051333,CLO:0002544;CLO:0050630;CLO:0051333
COLO205,CLO_0002544,CLO:0002544;CLO:0050630;CLO:0051333,CLO:0002544;CLO:0050630;CLO:0051333
COLO-205,CLO_0002544,CLO:0002544;CLO:0050630,CLO:0002544;CLO:0050630
Colo320,CLO_0002571,CLO:0002571;CLO:0050628,CLO:0002571;CLO:0050628
COLO-320,CLO_0002571,CLO:0002571;CLO:0050628,CLO:0002571;CLO:0050628
COLO-320_colon_adenocarcinoma,CLO_0002571,,
COLO320-DM_DMSO,CLO_0002571,,
COLO320HSR_DMSO,CLO_0002571,,
COLO679,CLO_0002551,CLO:0002551;CLO:0037120;CLO:0050697,CLO:0002551;CLO:0037120;CLO:0050697
Colo741,CLO_0002558,CLO:0002558,CLO:0002558
COLO-741,CLO_0002558,CLO:0002558,CLO:0002558
COLO-800,CLO_0037121,CLO:0002561;CLO:0037121,CLO:0002561;CLO:0037121
COLO800_human_melanoma_cells,CLO_0037121,,
Colo829,CLO_0002563,CLO:0002563;CLO:0037123,CLO:0002563;CLO:0037123
COLO-829,CLO_0002563,CLO:0002563;CLO:0037123,CLO:0002563;CLO:0037123
COLO-829_melanoma,CLO_0002563,,
colon carcinoma cell line:CACO-2,CLO_0002172,,
colon carcinoma cell line:COLO-320,CLO_0002571,,
COR-L311,CLO_0002591,CLO:0002591,CLO:0002591
CS1AN_Cockayne_syndrome,CLO_0028821,,
CTB-1,CLO_0050077,CLO:0050077,CLO:0050077
CTV-1,CLO_0002638,CLO:0002638,CLO:0002638
CWR22_prostate_carcinoma,CLO_0001200,,
CWR22Rv1,CLO_0001200,CLO:0001199;CLO:0001200,CLO:0001199;CLO:0001200
D283 Med,CLO_0002673,CLO:0002673,CLO:0002673
D283_1,CLO_0002673,,
D283_2,CLO_0002673,,
D283_3,CLO_0002673,,
D283_4,CLO_0002673,,
D283_Med_medulloblastoma,CLO_0002673,,
D341_1,CLO_0002677,,
D341_10,CLO_0002677,,
D341_11,CLO_0002677,,
D341_2,CLO_0002677,,
D341_3,CLO_0002677,,
D341_4,CLO_0002677,,
D341_5,CLO_0002677,,
D341_6,CLO_0002677,,
D341_7,CLO_0002677,,
D341_8,CLO_0002677,,
D341_9,CLO_0002677,,
D341_Med_medulloblastoma,CLO_0002677,,
D341-Med,CLO_0002677,,
D98-AH2,CLO_0002683,,
DAOY,CLO_0002699,CLO:0002699,CLO:0002699
DAOY_medulloblastoma,CLO_0002699,,
DAUDI,CLO_0002708,CLO:0002708;CLO:0013411;CLO:0013740;CLO:0050991,CLO:0002708;CLO:0013411;CLO:0013740;CLO:0050991
Daudi,CLO_0002708,CLO:0002708;CLO:0013411;CLO:0013740;CLO:0050991,CLO:0002708;CLO:0013411;CLO:0013740;CLO:0050991
David_TC71,CLO_0009879,,
db,CLO_0002709,CLO:0002709,CLO:0002709
DBTRG,CLO_0002723,CLO:0002722;CLO:0002723,CLO:0002722;CLO:0002723
Detroit 562,CLO_0002752,CLO:0002752,CLO:0002752
Detroit 562_LPS,CLO_0002752,,
Detroit 562-Control,CLO_0002752,,
Detroit_562_Pharyngeal_squamous_cell_carcinoma,CLO_0002752,,
Detroit562,CLO_0002752,CLO:0002752,CLO:0002752
Detroit-562,CLO_0002752,CLO:0002752,CLO:0002752
DHL-4,CLO_0037061,CLO:0037061,CLO:0037061
DHL6,CLO_0037063,CLO:0037063,CLO:0037063
diffuse large B-cell lymphoma cell line:CTB-1,CLO_0050077,,
DJM-1,CLO_0050680,CLO:0050680,CLO:0050680
DLD,CLO_0002785,,
DLD1,CLO_0002785,CLO:0002785,CLO:0002785
DLD-1,CLO_0002785,CLO:0002785,CLO:0002785
DLD-1_colon_adenocarcinoma,CLO_0002785,,
DLD1_WT,CLO_0002785,,
DMS79,CLO_0002800,CLO:0002800;CLO:0002802,CLO:0002800;CLO:0002802
DND_41,CLO_0009834,,
DND41,CLO_0009834,CLO:0009834,CLO:0009834
Dnd41,CLO_0009834,CLO:0009834,CLO:0009834
DND-41,CLO_0009834,CLO:0009834,CLO:0009834
Dnd41 T cell leukaemia,CLO_0009834,,
Dnd41 TCell Leukemia Cell Line,CLO_0009834,,
DND41_acute_lymphoblastic_leukemia,CLO_0009834,,
Dnd41_TCell_Leukemia,CLO_0009834,,
DOHH2,CLO_0002805,CLO:0002805;CLO:0037050,CLO:0002805;CLO:0037050
DOHH2_diffuse_large_B-cell_lymphoma,CLO_0002805,,
DS-1,CLO_0002821,,
DU145,CLO_0002840,CLO:0002840;CLO:0051536,CLO:0002840;CLO:0051536
du145,CLO_0002840,CLO:0002840;CLO:0051536,CLO:0002840;CLO:0051536
DU-145,CLO_0002840,CLO:0002840;CLO:0051536,CLO:0002840;CLO:0051536
DU145_prostate_carcinoma,CLO_0002840,,
DU145_prostate_carcinoma_ARG56W,CLO_0002840,,
DU145_prostate_carcinoma_ARQ6540X,CLO_0002840,,
DU145_prostate_carcinoma_FOXA1_ARC562S,CLO_0002840,,
DU145_prostate_carcinoma_FOXA1_ARQ6540X,CLO_0002840,,
DU145_prostate_carcinoma_FOXA1_HIGH,CLO_0002840,,
DU4475,CLO_0002842,CLO:0002842,CLO:0002842
ductal cell carcinoma cell line:KLM-1,CLO_0050104,,
ductal cell carcinoma cell line:MIA Paca2,CLO_0007726,,
EBC-1,CLO_0050039,CLO:0050039,CLO:0050039
ECC-1,CLO_0037231,CLO:0037231,CLO:0037231
ECC-1_endometrial_adenocarcinoma,CLO_0037231,,
ECC10,CLO_0050796,CLO:0050796,CLO:0050796
ECC12,CLO_0050807,CLO:0050807,CLO:0050807
ECC4,CLO_0051398,,
EC-GI-10,CLO_0051378,CLO:0051378,CLO:0051378
EEB,CLO_0051023,CLO:0051023,CLO:0051023
EM-3,CLO_0002923,CLO:0002923,CLO:0002923
embryonic kidney cell line: HEK293/SLAM infection 24hr,CLO_0001230,,
embryonic kidney cell line: HEK293/SLAM untreated,CLO_0001230,,
embryonic pancreas cell line:1B2C6,CLO_0050258,,
embryonic pancreas cell line:1C3D3,CLO_0050259,,
embryonic pancreas cell line:1C3IKEI,CLO_0050257,,
embryonic pancreas cell line:2C6,CLO_0050256,,
endometrial carcinoma cell line:OMC-2,CLO_0050887,,
Endometrial Carcinoma Cell Lines Ishikawa,CLO_0037163,,
endometrial stromal sarcoma cell line:OMC-9,CLO_0050888,,
endometrioid adenocarcinoma cell line:JHUEM-1,CLO_0050873,,
EoL-1,CLO_0002932,CLO:0002932;CLO:0002933;CLO:0050996,CLO:0002932;CLO:0002933;CLO:0050996
EOL-1_Acute_myeloid_leukemia,CLO_0002932,,
EOL1_Naive,CLO_0002932,,
EoL-3,CLO_0050997,CLO:0050997,CLO:0050997
epidermoid carcinoma cell line:A431,CLO_0001591,,
epidermoid carcinoma cell line:Ca Ski,CLO_0002165,,
epithelioid sarcoma cell line:HS-ES-1,CLO_0050148,,
epitheloid carcinoma cell line: HelaS3 ENCODE biol_rep1,CLO_0003696,,
epitheloid carcinoma cell line: HelaS3 ENCODE biol_rep2,CLO_0003696,,
epitheloid carcinoma cell line: HelaS3 ENCODE biol_rep3,CLO_0003696,,
esc-h1,CLO_0037281,,
esc-h1-3il,CLO_0037281,,
Ewing's sarcoma cell line:Hs 863.T,CLO_0004166,,
extraskeletal myxoid chondrosarcoma cell line:H-EMC-SS,CLO_0003701,,
F-36E,CLO_0051545,CLO:0051545,CLO:0051545
F-36P,CLO_0051549,CLO:0051549,CLO:0051549
FHs 74 Int,CLO_0003245,CLO:0003245,CLO:0003245
fibrosarcoma cell line:HT-1080,CLO_0004276,,
fibrous histiocytoma cell line:GCT TIB-223,CLO_0003464,,
FKH-1,CLO_0050983,CLO:0050983,CLO:0050983
FLP-IN T-REX 293 CELLS,CLO_0037238,,
FU97,CLO_0037138,CLO:0037138,CLO:0037138
FU-RPNT-1,CLO_0050891,CLO:0050891,CLO:0050891
FU-RPNT-2,CLO_0050901,CLO:0050901,CLO:0050901
G-361,CLO_0003433,CLO:0003433;CLO:0050698,CLO:0003433;CLO:0050698
G401,CLO_0003434,CLO:0003434,CLO:0003434
G-401,CLO_0003434,CLO:0003434,CLO:0003434
G401_Dox,CLO_0003434,,
G401_NoDox,CLO_0003434,,
G401_rhabdoid_tumor_of_the_kidney,CLO_0003434,,
G-402,CLO_0003435,CLO:0003435,CLO:0003435
gall bladder carcinoma cell line:TGBC14TKB,CLO_0050016,,
gall bladder carcinoma cell line:TGBC2TKB,CLO_0009348,,
gastric adenocarcinoma cell line:MKN1,CLO_0050804,,
gastric adenocarcinoma cell line:MKN45,CLO_0037142,,
gastric cancer cell line:AZ521,CLO_0050792,,
gastrointestinal carcinoma cell line:ECC12,CLO_0050807,,
GBM_2493,CLO_0003456,,
GBM01,CLO_0003456,,
GBM02,CLO_0003456,,
GBM03,CLO_0003456,,
GBM04,CLO_0003456,,
GBM05,CLO_0003456,,
GBM07,CLO_0003456,,
GBM08,CLO_0003456,,
GBM09,CLO_0003456,,
GBM10,CLO_0003456,,
GBM11,CLO_0003456,,
GBM12,CLO_0003456,,
GBM13,CLO_0003456,,
GBM14,CLO_0003456,,
GBM15,CLO_0003456,,
GBM16,CLO_0003456,,
GBM17,CLO_0003456,,
GBM18,CLO_0003456,,
GBM21,CLO_0003456,,
GBM22,CLO_0003456,,
GBM24,CLO_0003456,,
GBM25,CLO_0003456,,
GBM26,CLO_0003456,,
GBM27,CLO_0003456,,
GBM28,CLO_0003456,,
GBM29,CLO_0003456,,
GBM30,CLO_0003456,,
GBM31,CLO_0003456,,
GBM32,CLO_0003456,,
GBM33,CLO_0003456,,
GBM34,CLO_0003456,,
GBM35,CLO_0003456,,
GBM36,CLO_0003456,,
GBM37,CLO_0003456,,
GBM38,CLO_0003456,,
GCT TIB-223,CLO_0003464,,
GI-1,CLO_0050634,CLO:0050634,CLO:0050634
giant cell carcinoma cell line:LU65,CLO_0050059,,
giant cell carcinoma cell line:Lu99B,CLO_0050042,,
GICAN,CLO_0003492,CLO:0003492,CLO:0003492
GIMEN,CLO_0003494,CLO:0003494,CLO:0003494
glassy cell carcinoma cell line:HOKUG,CLO_0050937,,
glioblastoma cell line:A172,CLO_0001560,,
glioblastoma cell line:A172 tech_rep2,CLO_0001560,,
glioblastoma cell line:T98G,CLO_0009258,,
glioma cell line:GI-1,CLO_0050634,,
GM00011,CLO_0025204,CLO:0025204,CLO:0025204
GM00011_fetal_skin_fibroblasts,CLO_0025204,,
GM01310,CLO_0030914,CLO:0013895;CLO:0030914,CLO:0013895;CLO:0030914
GM04025,CLO_0016229,CLO:0016229,CLO:0016229
GM04604,CLO_0018911,CLO:0018911,CLO:0018911
GM04648,CLO_0018967,CLO:0018967,CLO:0018967
GM06077,CLO_0023602,CLO:0023602,CLO:0023602
GM06170,CLO_0023567,CLO:0023567,CLO:0023567
GM06170_fetal_skin_fibroblasts,CLO_0023567,,
GM06990,CLO_0036556,CLO:0036556,CLO:0036556
GM06990_female_B-cells,CLO_0036556,,
GM08714,CLO_0010422,CLO:0010422,CLO:0010422
GM09236,CLO_0012038,CLO:0012038,CLO:0012038
GM09237,CLO_0012037,CLO:0012037,CLO:0012037
GM10248,CLO_0029222,CLO:0029222,CLO:0029222
